Study_Hours_Per_Day,Sleep_Hours,Attendance_Percentage,Exam_Score
6.397371322408986,7.411272456051594,91.80818012523817,83.28642741736616
5.889388559063052,6.389578175014488,86.77440122697438,80.9886136538919
6.518150830480554,7.104431797502378,91.80697802754207,84.19357144166996
7.218423885126421,6.0201649380601125,97.69018283232984,87.02025428407269
5.812677300221331,6.335906975550785,89.82086980445024,94.43092950605265
5.812690434440656,7.098430617934562,97.82321827907003,85.8728890641592
7.263370252405913,7.369233289997705,76.90127447955128,86.28775195361382
6.6139477833223275,7.085684140594985,94.10951252187611,84.62777042116916
5.624420491252038,6.9421758588058795,90.43523534119086,75.4061439235048
6.434048034868772,6.849448152205356,88.50496324767066,84.86743062275391
5.62926584575003,6.260739004816286,90.45880388267751,85.30115104970513
5.627416197143795,6.640077895802646,80.06215542699553,97.31621056242643
6.193569817252827,6.769680614520106,88.90164056081244,84.03819517609439
4.469375804273762,7.528561113109458,91.78556285755873,86.50773671166806
4.620065733989573,7.1718091447842305,97.38947022370758,84.82644115147379
5.550169976607222,6.118479922318633,87.40864890863176,79.15660981190234
5.189735103732461,7.162041984697398,85.95753198553406,90.7141140725751
6.2513978660762195,6.807458859791842,87.49121478207732,88.75966516343387
5.273580739583031,6.6615389998470205,94.57701058851038,88.95515973521523
4.870157038931767,7.305838144420434,91.64375554829843,80.4530627260263
7.172519015137244,7.515499761247975,87.3511989811648,92.0139715546805
5.819378959610772,7.465640059558099,92.56633716556678,77.9907446860386
6.054022563750339,6.580391238388681,90.4853877467402,87.93428546900135
4.860201451029234,6.845393812074393,94.84322495266444,95.95227812904989
5.5644938203798535,7.165631715701782,86.48973453061323,80.04731837434656
6.088738071767893,7.48777256356118,88.36168926701116,82.16851135198614
5.079205138062157,6.760412881077355,88.0394592343392,85.4982568254382
6.300558414676537,6.907170511668092,82.68242525933941,82.48262172941901
5.519489048064956,6.446832512996986,91.48060138532288,77.24668284466934
5.766645000165378,6.401896687959665,91.30527636089944,85.34281487403014
5.5186347102164826,7.406262911197099,90.02556728321231,79.68848143136948
7.48182254760715,7.678120014285412,88.82706433312427,87.36796215317591
5.989202220209653,6.963994939209833,82.92314628974793,80.40287882883098
5.1538312568352795,7.501766448946012,87.89677338617321,92.7496720250877
3.451722695364634,6.047758301385507,81.49830745905166,68.80351413390807
3.774556938656027,5.966291342224686,81.32281231220942,52.849144480054356
4.5694620521587686,6.010513829020737,66.73398379225745,66.11872588861657
3.1383949784962315,6.453738974351538,69.37304976050926,61.02928121138967
4.1592219542228905,6.704691184889986,78.09021160325196,70.11460000877734
4.9149999279977,6.666014479598012,78.08271570547325,60.244875569403796
2.874761735807141,6.996309949421614,78.09028611783629,64.31158135119861
4.129243700972613,6.507801135126744,98.11638894392833,68.02992367388275
4.181917955973897,7.372120446294391,78.42534306415901,70.19453116502073
4.547276010244117,6.3412059000572265,81.8133938410836,57.79822155766534
3.1341345023853426,8.132101499953771,80.72401058095922,62.99299258495431
3.0756803708410065,6.8754004086590035,78.90834750783479,62.150328133034265
4.3653590959318285,5.985705466150231,73.10838453215793,61.08002460455773
4.20788927126323,5.857464501163332,79.55381532295961,75.59272544168658
4.1753449952421136,6.789483449145911,70.36304871277457,67.42989026576574
4.242513746647883,6.36592232880449,73.57908835955995,57.43469627398973
3.5239826948950563,6.928400296455255,72.08781871302538,70.50717168232866
4.162577588012702,6.783942574744127,75.49124483631793,77.7329371820758
4.205150731309077,6.456302652405876,88.88795140004105,71.19479156330688
3.4999540073815427,5.991923769158957,63.796408844449516,55.88378020427592
5.306042157801329,5.591091665188481,79.11756114224708,62.09459556280249
4.331683044638251,6.232091028759787,65.32370477286209,72.60146689511974
3.166087551958146,7.013839276594084,72.1684088052634,60.753983206287316
4.459587526043681,6.628456246478122,81.53370358180419,67.66291656887736
